a0,acc_rollover,acc_slide,acc_upper,s,v0,v_slide,v_upper,vel_stairsend
3.0,3.0,3.0,3.0,0.0,0.0,2.5,2.5,2.5
2.9999999999999996,3.0,3.0,3.0,0.102359930973,0.7836833453876636,2.5,2.5,2.5
2.9999999999999987,3.0,3.0,3.0,0.20650192478799997,1.1131089563596188,2.5,2.5,2.5
3.0,3.0,3.0,3.0,0.30926583789400003,1.3622022710904573,2.5,2.5,2.5
2.9999999999999996,3.0,3.0,3.0,0.41102833246,1.5704044048460892,2.5,2.5,2.5
1.2938489375380724,3.0,3.0,3.0,0.513324775773,1.7549782490498278,2.5,2.5,2.5
-1.9999999999999978,3.0,3.0,3.0,0.615103682793,1.8284752434914797,2.5,2.5,2.5
-2.0,3.0,3.0,3.0,0.7151986563330001,1.7155004581466091,2.327475882350758,2.327475882350758,2.5
2.999999999999998,3.0,3.0,3.0,0.816052835942,1.593588749792501,1.593588749792501,1.593588749792501,2.5
2.999999999999999,3.0,3.0,3.0,0.9165872929760001,1.7727751819306437,1.911020555428359,1.911020555428359,2.5
2.9999999999999933,3.0,3.0,3.0,1.01685726635,1.9350327351011987,2.5,2.5,2.5
2.9999999999999956,3.0,3.0,3.0,1.11758181644,2.0853534440121235,2.5,2.5,2.5
2.9999999999999956,3.0,3.0,3.0,1.21911728143,2.2266368757373134,2.5,2.5,2.5
2.1863011144844644,3.0,3.0,3.0,1.3199489807,2.358580499371014,2.5,2.5,2.5
-1.9999999999999956,3.0,3.0,3.0,1.42043241178,2.449954294824309,2.5,2.5,2.5
-1.9999999999999956,3.0,3.0,3.0,1.5206002344799998,2.3667709555273992,2.5,2.5,2.5
-2.0000000000000044,3.0,3.0,3.0,1.6208532431,2.280480809269852,2.5,2.5,2.5
-2.0,3.0,3.0,3.0,1.7220675040400002,2.1899168198103043,2.5,2.5,2.5
0.23046951844134575,3.0,3.0,3.0,1.82217817063,2.0964954117116683,2.0964954117116683,2.0964954117116683,2.5
3.0,3.0,3.0,3.0,1.9235202020500002,2.1076065832328736,2.1076065832328736,2.1076065832328736,2.5
