a0,acc_rollover,acc_slide,acc_upper,s,v0,v_slide,v_upper,vel_stairsend
3.0,3.726024690488752,3.0,3.0,0.0,0.0,2.5,2.5,2.5
3.0,3.939602973960287,3.0,3.0,0.10001065423000001,0.7746379317978175,2.5,2.5,2.5
2.9999999999999996,4.151420674151013,3.0,3.0,0.204004807273,1.1063583703475108,2.5,2.5,2.5
2.999999999999998,4.36138313109037,3.0,3.0,0.304416514448,1.3514803315949515,2.5,2.5,2.5
3.000000000000001,4.569396513904096,3.0,3.0,0.40506558489,1.5589719398821775,2.5,2.5,2.5
2.999999999999997,4.748259202972927,3.0,3.0,0.505579242623,1.741687531027882,2.5,2.5,2.5
3.0,4.542012600341465,3.0,3.0,0.606424669493,1.9074978419274815,2.5,2.5,2.5
3.000000000000002,4.333736201434022,3.0,3.0,0.707456925712,2.060277057648315,2.5,2.5,2.5
1.8253935703477677,4.031783065587958,3.0,3.0,0.808571859166,2.202596457591812,2.5,2.5,2.5
-1.9999999999999956,3.7674303991834264,3.0,3.0,0.909762584139,2.284919463019449,2.5,2.5,2.5
-2.0,3.7039948307829733,3.0,3.0,1.01100771092,2.1945105252336083,2.5,2.5,2.5
-2.0,3.8380662764546836,3.0,3.0,1.11229700976,2.1001712430183135,2.5,2.5,2.5
-2.000000000000002,4.056831546405259,3.0,3.0,1.21364921736,2.0013271645588304,2.5,2.5,2.5
-2.000000000000002,4.23566027971492,3.0,3.0,1.31518103636,1.8971513233269208,2.5,2.5,2.5
-2.0,4.333537638390675,3.0,3.0,1.41560765757,1.7881489475882837,2.5,2.5,2.5
-2.0,4.368493576152116,3.0,3.0,1.5160713088799997,1.672011379602749,2.5,2.5,2.5
-2.0,4.376521142326453,3.0,3.0,1.6165257504100001,1.5471923886191679,1.6821203843577779,1.6821203843577779,2.5
-1.770602575183569,4.3793255314941195,3.0,3.0,1.7169943935699998,1.4113574014972563,1.4113574014972563,1.4113574014972563,2.5
-1.999999999999999,4.386825456133803,3.0,3.0,1.81850946872,1.2776713222891087,2.2887562250766265,2.2887562250766265,2.5
-2.000000000000001,4.4106116786469185,3.0,3.0,1.9199200920200001,1.107610723404211,2.5,2.5,2.5
-1.9999999999999998,4.492854338101042,3.0,3.0,2.02132042191,0.9062009683508397,2.5,2.5,2.5
-2.0000000000000004,4.6637012365300965,3.0,3.0,2.1227204464900002,0.6446705334665134,2.5,2.5,2.5
3.0000000000000004,4.61834326925255,3.0,3.0,2.22412047067,0.1,2.5,0.1,0.1
2.9999999999999996,4.361362302450662,3.0,3.0,2.32552049484,0.7863842222603408,2.5,2.5,2.5
3.0,4.132055001937281,3.0,3.0,2.4269205190200003,1.107610170637667,2.5,2.5,2.5
2.999999999999999,4.089038582752303,3.0,3.0,2.52832054319,1.3546956983470495,2.5,2.5,2.5
3.0,4.230069035284738,3.0,3.0,2.62972056737,1.5632020279541607,2.5,2.5,2.5
3.0,4.4507770835329366,3.0,3.0,2.73112059153,1.7469976316984517,2.5,2.5,2.5
3.0,4.645099259073056,3.0,3.0,2.83252061538,1.9132174127003967,2.5,2.5,2.5
2.9999999999999956,4.731184527758245,3.0,3.0,2.93392063714,2.0661076929385844,2.5,2.5,2.5
3.0,4.5873040618887595,3.0,3.0,3.03532065107,2.2084386073423006,2.5,2.5,2.5
-1.0000292868929723,4.426573427611764,3.0,3.0,3.1367206467699997,2.342136003010926,2.5,2.5,2.5
-2.0000000000000044,4.288435672834523,3.0,3.0,3.2381206143199996,2.2984332015788502,2.5,2.5,2.5
-2.0000000000000044,4.251070213692791,3.0,3.0,3.33952055237,2.208437327596145,2.5,2.5,2.5
-1.9999999999999956,4.352706961399423,3.0,3.0,3.44092046935,2.114614802274873,2.5,2.5,2.5
-1.9999999999999978,4.54655701213895,3.0,3.0,3.5423203762599997,2.016431534756388,2.5,2.5,2.5
-2.0,4.7410670398792725,3.0,3.0,3.64372028013,1.9132162760336326,2.5,2.5,2.5
-1.9999999999999978,4.647949138764882,3.0,3.0,3.7451201834699996,1.8041055693944308,2.5,2.5,2.5
-2.000000000000002,4.587900888963274,3.0,3.0,3.84652008677,1.6879565433742665,2.5,2.5,2.5
-2.0,4.569455088960005,3.0,3.0,3.94791999006,1.5632011000379964,2.5,2.5,2.5
-2.000000000000001,4.566122038863921,3.0,3.0,4.04931989336,1.4275846965977192,1.6555264046846936,1.6555264046846936,2.5
-1.999999999999999,4.565550223335735,3.0,3.0,4.15071979666,1.2776534947942664,1.621350420930254,1.621350420930254,2.5
-2.0000000000000004,4.562213896896654,3.0,3.0,4.25211969995,1.107609515849337,2.5,2.5,2.5
-2.0000000000000004,4.5437367326714195,3.0,3.0,4.35351960325,0.9062004338996992,2.5,2.5,2.5
-2.0,4.491831484936349,3.0,3.0,4.45491950655,0.6446701584531451,2.5,2.5,2.5
3.0000000000000004,4.381170742418719,3.0,3.0,4.55631940985,0.1,2.5,0.1,0.1
3.0000000000000004,4.226586582824797,3.0,3.0,4.65771931314,0.7863837611115833,2.5,2.5,2.5
3.000000000000001,4.088124823806528,3.0,3.0,4.75911921644,1.10760951582225,2.5,2.5,2.5
2.999999999999999,4.050477858648103,3.0,3.0,4.86051911974,1.3546948952956157,2.5,2.5,2.5
3.0,4.152980952198991,3.0,3.0,4.96191902304,1.5632011000315982,2.5,2.5,2.5
3.0,4.348553120960978,3.0,3.0,5.06331892633,1.746996593837549,2.5,2.5,2.5
2.999999999999998,4.544922659128988,3.0,3.0,5.164718829630001,1.9132162759813651,2.5,2.5,2.5
3.0,4.681119489500088,3.0,3.0,5.266118732930001,2.0661064683311947,2.5,2.5,2.5
3.0000000000000044,4.748754758051334,3.0,3.0,5.367518636230001,2.208437311376531,2.5,2.5,2.5
3.0000000000000044,4.721127863787509,3.0,3.0,5.468918539520001,2.3421346626571244,2.5,2.5,2.5
-1.383866992051278,4.599493069540911,3.0,3.0,5.57031844282,2.4686016685200545,2.5,2.5,2.5
-2.0,4.373209351635891,3.0,3.0,5.67171834612,2.4110881857517934,2.5,2.5,2.5
-2.0,4.09471545529814,3.0,3.0,5.7731182494199995,2.3254562189540087,2.5,2.5,2.5
-2.0000000000000044,3.8590121921583393,3.0,3.0,5.87451815271,2.2365480126999,2.5,2.5,2.5
-2.0000000000000044,3.6817692029289173,3.0,3.0,5.975918056009999,2.1439560163193354,2.5,2.5,2.5
-2.000000000000002,3.7477478723286572,3.0,3.0,6.07731795931,2.0471804480093763,2.5,2.5,2.5
-1.9999999999999978,3.991171974253933,3.0,3.0,6.17871786261,1.9455971251808197,2.5,2.5,2.5
-2.0,4.213920067623038,3.0,3.0,6.2801177659,1.8384092472438966,2.5,2.5,2.5
-2.000000000000002,4.294768955051215,3.0,3.0,6.38151766542,1.724572109907809,2.5,2.5,2.5
-2.0,4.30755537653162,3.0,3.0,6.482915143910001,1.6026724706913351,2.5,2.5,2.5
-2.0,4.3097649533879645,3.0,3.0,6.58423480478,1.4708094386533794,1.9312020596879667,1.9312020596879667,2.5
-0.6991968931614133,4.309802165359613,3.0,3.0,6.68479350506,1.3270439343563085,1.3270439343563085,1.3270439343563085,2.5
-2.000000000000001,4.310465223972123,3.0,3.0,6.786102420830001,1.2725469914309644,1.4877376320017481,1.4877376320017481,2.5
-1.999999999999999,4.320917170866484,3.0,3.0,6.887256260660001,1.102161733177122,1.8489658198692906,1.8489658198692906,2.5
-2.0000000000000004,4.330808547462021,3.0,3.0,6.98761316776,0.9018496868547446,2.5,2.5,2.5
-1.9999999999999998,4.3896324882700215,3.0,3.0,7.08799406606,0.6417236667600787,2.5,2.5,2.5
3.0,4.5520964911124215,3.0,3.0,7.18844638218,0.1,2.5,0.1,0.1
3.000000000000001,4.696402772769617,3.0,3.0,7.2888274634800005,0.7824873722942759,2.5,2.5,2.5
3.000000000000001,4.4190326041064925,3.0,3.0,7.38926386985,1.1022272569756184,2.3918409661045565,2.3918409661045565,2.5
3.000000000000003,4.168338267855416,3.0,3.0,7.48973522617,1.3482333121310999,2.5,2.5,2.5
1.1471254044727481,4.146411375885771,3.0,3.0,7.59013386587,1.5556750631606848,2.5,2.5,2.5
-1.9999999999999978,4.330442306790476,3.0,3.0,7.690544654960001,1.6280333031718333,2.5,2.5,2.5
-1.999999999999999,4.5222943585882085,3.0,3.0,7.79095582408,1.499615870733767,1.532318781869835,1.532318781869835,2.5
2.999999999999999,4.592989997143266,3.0,3.0,7.891675027280001,1.3586651342242473,1.3586651342242473,1.3586651342242473,2.5
2.999999999999998,4.603827317164082,3.0,3.0,7.992051786239999,1.564682555893234,1.5874609403120312,1.5874609403120312,2.5
3.0,4.605833150911073,3.0,3.0,8.09313530853,1.7477793437549796,2.157273625566606,2.157273625566606,2.5
2.999999999999998,4.605827564691748,3.0,3.0,8.19399021734,1.9130766025741324,2.5,2.5,2.5
3.0000000000000044,4.605560114969756,3.0,3.0,8.29534715406,2.065914738714206,2.5,2.5,2.5
3.0000000000000044,4.60795836421838,3.0,3.0,8.39674626663,2.208256865280076,2.5,2.5,2.5
3.0000000000000044,4.582007870899455,3.0,3.0,8.49814626198,2.341964635761307,2.5,2.5,2.5
0.7731835991283482,4.521371251393536,3.0,3.0,8.599546261439999,2.468440469591394,2.5,2.5,2.5
0.0,4.457726372200357,3.0,3.0,8.70094627061,2.5,2.5,2.5,2.5
0.0,4.45997386439217,3.0,3.0,8.80234628857,2.5,2.5,2.5,2.5
0.0,4.507697308668933,3.0,3.0,8.90374631109,2.5,2.5,2.5,2.5
0.0,4.584736507401632,3.0,3.0,9.00514633501,2.5,2.5,2.5,2.5
0.0,4.67732315550161,3.0,3.0,9.10654635916,2.5,2.5,2.5,2.5
-0.6308993348292374,4.754044349439073,3.0,3.0,9.20794638334,2.5,2.5,2.5,2.5
-1.9999999999999956,4.626716703654612,3.0,3.0,9.30934640752,2.474278396702024,2.5,2.5,2.5
-2.0,4.437413647631383,3.0,3.0,9.410746431689999,2.3909105980162333,2.5,2.5,2.5
-1.9999999999999956,4.217425887969035,3.0,3.0,9.51214645587,2.304528886993247,2.5,2.5,2.5
-2.0,4.030337882227584,3.0,3.0,9.61354648004,2.2147806424805005,2.5,2.5,2.5
-2.0,4.014139693329311,3.0,3.0,9.714946504219999,2.1212385998718637,2.5,2.5,2.5
-2.0,4.196503957848672,3.0,3.0,9.81634652839,2.0233766581895574,2.5,2.5,2.5
-2.0,4.478969009066162,3.0,3.0,9.91774655257,1.9205345620910705,2.5,2.5,2.5
-1.9999999999999978,4.743139749218358,3.0,3.0,10.019146576699999,1.8118644838028983,2.5,2.5,2.5
-2.0,4.599899546664176,3.0,3.0,10.120546600900001,1.696246683376665,2.5,2.5,2.5
-2.000000000000002,4.520841934379963,3.0,3.0,10.221946624400001,1.5721490759041699,2.5,2.5,2.5
-2.000000000000001,4.498319922972776,3.0,3.0,10.3233466445,1.4373769987259208,2.5,2.5,2.5
1.8616660988542457,4.494675265883025,3.0,3.0,10.4247466538,1.288585503281152,1.288585503281152,1.288585503281152,2.5
-2.0,4.493637679826855,3.0,3.0,10.5261466412,1.4275848266215208,1.500313182149001,1.500313182149001,2.5
-2.0,4.485940250074414,3.0,3.0,10.6275465988,1.2776535550766481,2.5,2.5,2.5
-2.0000000000000004,4.447758703350717,3.0,3.0,10.7289465289,1.1076095369759145,2.5,2.5,2.5
-2.000000000000001,4.346487595268346,3.0,3.0,10.830346441500001,0.9062004391965351,2.5,2.5,2.5
-1.9999999999999998,4.163981346749443,3.0,3.0,10.9317463469,0.6446701593838482,2.5,2.5,2.5
3.0000000000000004,3.9432524079844087,3.0,3.0,11.0331462505,0.1,2.5,0.1,0.1
3.0000000000000004,3.7542981411206644,3.0,3.0,11.1345461538,0.786383761149736,2.5,2.5,2.5
3.000000000000001,3.737933269289666,3.0,3.0,11.2359460571,1.1076095158493355,2.5,2.5,2.5
3.000000000000001,3.9222800948463306,3.0,3.0,11.3373459604,1.3546948953177629,2.5,2.5,2.5
2.999999999999998,4.208029629212899,3.0,3.0,11.4387458637,1.5632011000507897,2.5,2.5,2.5
3.0,4.475540232093943,3.0,3.0,11.540145767,1.7469965938718952,2.5,2.5,2.5
3.000000000000002,4.657693133289516,3.0,3.0,11.6415456703,1.9132162760127245,2.5,2.5,2.5
3.0,4.729399668659525,3.0,3.0,11.742945573599998,2.0661064683602324,2.5,2.5,2.5
3.0000000000000044,4.755660234255767,3.0,3.0,11.844345476900001,2.208437311403701,2.5,2.5,2.5
3.0,4.749688780700795,3.0,3.0,11.9457453802,2.342134662695551,2.5,2.5,2.5
0.7692601123023041,4.709088720928591,3.0,3.0,12.047145283499999,2.4686016685565124,2.5,2.5,2.5
0.0,4.674229611593187,3.0,3.0,12.1485451868,2.5,2.5,2.5,2.5
0.0,4.650098081295833,3.0,3.0,12.2499450901,2.5,2.5,2.5,2.5
0.0,4.677379329492614,3.0,3.0,12.3513449934,2.5,2.5,2.5,2.5
0.0,4.741565180192285,3.0,3.0,12.4527448967,2.5,2.5,2.5,2.5
0.0,4.697116817752951,3.0,3.0,12.5541448,2.5,2.5,2.5,2.5
