a0,acc_rollover,acc_slide,acc_upper,s,v0,v_slide,v_upper,vel_stairsend
3.0000000000000004,3.8167966308241814,3.0,3.0,0.0,0.0,2.5,2.5,2.5
2.9999999999999996,3.9030885240282633,3.0,3.0,0.10630641337300001,0.7986479075525085,2.5,2.5,2.5
3.000000000000001,3.9890951043734395,3.0,3.0,0.209069028554,1.1200063264660607,2.5,2.5,2.5
3.000000000000001,4.074810084842859,3.0,3.0,0.309977966543,1.3637697016938015,2.5,2.5,2.5
2.999999999999997,4.160227199735404,3.0,3.0,0.410486973639,1.5693698868762584,2.5,2.5,2.5
2.999999999999998,4.245340205123709,3.0,3.0,0.511196745619,1.7513367676475018,2.5,2.5,2.5
2.9999999999999956,4.330142879310582,3.0,3.0,0.616594917228,1.9234265006409783,2.5,2.5,2.5
2.999999999999998,4.414629023283816,3.0,3.0,0.718199734352,2.075860883130659,2.5,2.5,2.5
3.0000000000000053,4.472828526024819,3.0,3.0,0.818887627061,2.2166023013535825,2.5,2.5,2.5
3.0000000000000044,4.530879305417006,3.0,3.0,0.919575519771,2.3489259500090673,2.5,2.5,2.5
0.6376029778146071,4.588778752364758,3.0,3.0,1.0202634124799999,2.4741827893023585,2.5,2.5,2.5
0.0,4.646525327064251,3.0,3.0,1.1209683414,2.5,2.5,2.5,2.5
0.0,4.704117385557875,3.0,3.0,1.2220196957,2.5,2.5,2.5,2.5
0.0,4.761519249834106,3.0,3.0,1.32316768775,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,1.4238766603600002,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,1.5245856329700003,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,1.62529460558,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,1.7260035781999998,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,1.8267087257799999,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,1.92739666715,2.5,2.5,2.5,2.5
