x,y,z,tx,ty,tz,qx,qy,qz,nx,ny,nz,s,kappa,psi,theta,phi
-0.845929980278,6.18039989471,1,-0.656152897014,-0.733867080095,-0.175791025062,0.745547759099,-0.666451929248,-0.000604073238258,0,0,1,0,0.14799616046,0.0393870564742,0.0886308620466,-2.30561767805
-0.915534220875,6.10004877017,0.981015397032,-0.631204055478,-0.755432146009,-0.17579451961,0.767379675219,-0.6411929767,2.62994828912e-05,0,0,1,0.106306413373,0.328094986567,0.0411708774928,0.088642232312,-2.27235605197
-0.980001343556,6.02002286704,0.962663562527,-0.603610927253,-0.77765698796,-0.175793792776,0.789959009955,-0.613159655058,3.96098310057e-13,0,0,1,0.209069028554,0.338284778545,0.0431177376706,0.088652803201,-2.23662355639
-1.04046109388,5.93923157817,0.944642843945,-0.57584811404,-0.798433148096,-0.175793792776,0.811063835278,-0.584957652403,7.90993050475e-14,0,0,1,0.309977966543,0.338284778543,0.0450567241331,0.0886642037717,-2.20165666061
-1.09781551217,5.85669351901,0.926693553951,-0.547485047284,-0.818142203667,-0.175793792776,0.831084675144,-0.556145900589,7.68461518739e-13,0,0,1,0.410486973639,0.338284778543,0.0470229957256,0.0886762764597,-2.16683301928
-1.15234495984,5.77202358628,0.908708692555,-0.518392348797,-0.836900236919,-0.175691110059,0.83682125251,-0.538764761196,0.0972765307827,0,0,1,0.511196745619,0.342414826439,0.0490021348714,0.0886363934341,-2.13192902355
-1.2060875564,5.68135656971,0.900004205807,-0.491158782143,-0.871069570114,-0.000924524300975,0.848798731077,-0.478839141289,0.224173573134,0,0,1,0.616594917228,0.740860956839,-0.000791332968452,0.000462262458139,-2.08421557113
-1.25270650811,5.591078044,0.899999976158,-0.42686799777,-0.904313945751,0,0.904313945751,-0.42686799777,0,0,0,1,0.718199734352,0.698182891749,0,0,-2.01182285963
-1.29245992456,5.49857011127,0.899999976158,-0.362280541783,-0.932069101003,0,0.932069101003,-0.362280541783,0,0,0,1,0.818887627061,0.698182891749,0,0,-1.94150981216
-1.32561595619,5.40349787923,0.899999976158,-0.295902735893,-0.955218075044,0,0.955218075044,-0.295902735893,0,0,0,1,0.919575519771,0.698182891749,0,0,-1.87119676469
-1.3520107496,5.30633118422,0.899999976158,-0.228062611789,-0.973646468234,0,0.973646468234,-0.228062611789,0,0,0,1,1.02026341248,0.698182891749,0,0,-1.80088371722
-1.3715157703,5.20753322434,0.899999976158,-0.158888739246,-0.987296494748,0,0.987296494748,-0.158888739246,0,0,0,1,1.1209683414,0.73828379987,0,0,-1.73036131825
-1.38418637846,5.10727938703,0.899999976158,-0.0987541373294,-0.99511186324,0,0.99511186324,-0.0987541373294,0,0,0,1,1.2220196957,0.542946597734,0,0,-1.66971168731
-1.39221371488,5.00645043203,0.899999976158,-0.0616101855375,-0.998100288066,0,0.998100288066,-0.0616101855375,0,0,0,1,1.32316768775,0.349072140344,0,0,-1.63244555587
-1.39665062096,4.90583924464,0.899999976158,-0.0264896230112,-0.999649088367,0,0.999649088367,-0.0264896230112,0,0,0,1,1.42387666036,0.349072140345,0,0,-1.59728904875
-1.39754837602,4.80513427356,0.899999976158,0.00866367678701,-0.999962469648,0,0.999962469648,0.00866367678701,0,0,0,1,1.52458563297,0.349072140345,-0,-0,-1.56213254162
-1.39490587058,4.7044599753,0.899999976158,0.0438062695569,-0.999040044617,0,0.999040044617,0.0438062695569,0,0,0,1,1.62529460558,0.349072140345,-0,-0,-1.5269760345
-1.38872637037,4.60394076847,0.899999976158,0.0788947242398,-0.996882953253,0,0.996882953253,0.0788947242398,0,0,0,1,1.7260035782,0.349072144075,-0,-0,-1.49181952737
-1.37884025426,4.50372205037,0.899999976158,0.12337034752,-0.992360699218,0,0.992360699218,0.12337034752,0,0,0,1,1.82670872578,0.676960071443,-0,-0,-1.44711086176
-1.36292696489,4.40429957424,0.899999976158,0.192648003569,-0.981267928102,0,0.981267928102,0.192648003569,0,0,0,1,1.92739666715,0.698182625916,-0,-0,-1.37693633839
-1.34006881848,4.30624062827,0.899999976158,0.261111055963,-0.965308767418,0,0.965308767418,0.261111055963,0,0,0,1,2.02808455988,0.698182625916,-0,-0,-1.30662331769
-1.31037801236,4.2100298816,0.899999976158,0.328283727715,-0.944579162441,0,0.944579162441,0.328283727715,0,0,0,1,2.12877245261,0.698182625916,-0,-0,-1.23631029699
-1.27393510674,4.11598838928,0.899999976158,0.393941863767,-0.919135358895,0,0.919135358895,0.393941863767,0,0,0,1,2.22962822909,0.698182625916,-0,-0,-1.16587999019
-1.23111837625,4.02504335243,0.899999976158,0.457438108636,-0.889241461453,0,0.889241461453,0.457438108636,0,0,0,1,2.33014823773,0.69818271064,-0,-0,-1.09568425534
-1.18271226669,3.93673648004,0.899999976158,0.480739622877,-0.876863395858,0,-0.876863395858,-0.480739622877,0,0,0,1,2.43085203684,0.65027833258,-0,-0,-1.06929832223
-1.13741732398,3.84681186995,0.899999976158,0.418196874505,-0.908356413614,0,-0.908356413614,-0.418196874505,0,0,0,1,2.531540007,0.698182625916,-0,-0,-1.13933695777
-1.09855075064,3.75392784969,0.899999976158,0.353346865336,-0.93549237985,0,-0.93549237985,-0.353346865336,0,0,0,1,2.63222789973,0.698182625916,-0,-0,-1.20964997847
-1.0663057903,3.65854276555,0.899999976158,0.286750656821,-0.958005250932,0,-0.958005250932,-0.286750656821,0,0,0,1,2.73291579246,0.698182625916,-0,-0,-1.27996299917
-1.04084179383,3.5611279996,0.899999976158,0.218737359723,-0.975783770854,0,-0.975783770854,-0.218737359723,0,0,0,1,2.83360368519,0.698182625916,-0,-0,-1.35027601987
-1.02228460135,3.46216496431,0.899999976158,0.149643088467,-0.988740080139,0,-0.988740080139,-0.149643088467,0,0,0,1,2.93429157794,0.69818239606,-0,-0,-1.42058903998
-1.01031819524,3.36217958615,0.899999976158,0.0983999913838,-0.995146944775,0,-0.995146944775,-0.0983999913838,0,0,0,1,3.03499048916,0.183757920614,-0,-0,-1.47223684557
-1.00129360809,3.26187048989,0.899999976158,0.0808467710023,-0.996726542046,0,-0.996726542046,-0.0808467710023,0,0,0,1,3.1357047283,0.174533747367,-0,-0,-1.48986122395
-0.99403378285,3.161418244,0.899999976158,0.0633144640961,-0.997993626551,0,-0.997993626551,-0.0633144640961,0,0,0,1,3.23641897142,0.174533747369,-0,-0,-1.50743948453
-0.988540764022,3.06085390882,0.899999976158,0.0457625938252,-0.998952343711,0,-0.998952343711,-0.0457625938252,0,0,0,1,3.33713321453,0.174533747368,-0,-0,-1.52501774511
-0.984816248883,2.96020855745,0.899999976158,0.0281965834946,-0.999602397296,0,-0.999602397296,-0.0281965834946,0,0,0,1,3.43784745765,0.174533747369,-0,-0,-1.54259600569
-0.982860397011,2.85893505855,0.899999976158,0.00992086976363,-0.999950786961,0,-0.999950786961,-0.00992086976363,0,0,0,1,3.53913984105,0.218497910017,-0,-0,-1.56087529428
-0.982512071203,2.75799339104,0.899999976158,2.0091479009e-05,-0.999999999798,0,-0.999999999798,-2.00914790068e-05,0,0,0,1,3.64008210955,0.00474511846185,-0,-0,-1.57077623532
-0.982511997223,2.65726679469,0.899999976158,0,-1,0,-nan,-nan,-nan,0,0,1,3.7408087059,0,-0,-0,-1.57079632679
-0.982511997223,2.55655079469,0.899999976158,-3.27523248741e-20,-1,0,-1,3.27523248741e-20,0,0,0,1,3.8415247059,1.89413643522e-17,0,0,-1.57079632679
-0.982511997223,2.45583479469,0.899999976158,-3.72348171955e-16,-1,0,1,-3.72348171955e-16,0,0,0,1,3.9422407059,4.70285020118e-14,0,0,-1.57079632679
-0.982511997223,2.35511879469,0.899999976158,0,-1,0,-nan,-nan,-nan,0,0,1,4.0429567059,0,-0,-0,-1.57079632679
-0.982511997223,2.25440279443,0.899999976158,4.67706316022e-17,-1,0,1,4.67706344208e-17,0,0,0,1,4.14367270616,9.32261122509e-15,-0,-0,-1.57079632679
-0.982511997223,2.15368665166,0.899999976158,5.29861647366e-18,-1,0,-1,-5.29861650983e-18,0,0,0,1,4.24438884893,1.48109095852e-15,-0,-0,-1.57079632679
-0.982511997223,2.05297065164,0.899999976158,0,-1,0,-nan,-nan,-nan,0,0,1,4.34510484895,0,-0,-0,-1.57079632679
-0.982511997223,1.95225465164,0.899999976158,-2.74565941596e-19,-1,0,-1,2.74565941596e-19,0,0,0,1,4.44582084895,1.1719277995e-16,0,0,-1.57079632679
-0.982511997223,1.85153865164,0.899999976158,-2.06889588033e-16,-1,0,1,-2.06889588033e-16,0,0,0,1,4.54653684895,3.05434838411e-14,0,0,-1.57079632679
-0.982511997223,1.75082265164,0.899999976158,0,-1,0,-nan,-nan,-nan,0,0,1,4.64725284895,0,-0,-0,-1.57079632679
-0.982511997223,1.65010665153,0.899999976158,1.03632138453e-16,-1,0,1,1.03632140759e-16,0,0,0,1,4.74796884906,1.78007658172e-14,-0,-0,-1.57079632679
-0.982511997223,1.5493906278,0.899999976158,1.41845191189e-18,-1,0,-1,-1.41845191232e-18,0,0,0,1,4.84868487279,4.78836961034e-16,-0,-0,-1.57079632679
-0.982511997223,1.4486546278,0.899999976158,0,-1,0,-nan,-nan,-nan,0,0,1,4.94942087279,0,-0,-0,-1.57079632679
-0.982511997223,1.3479586278,0.899999976158,-1.39940892004e-18,-1,0,-1,1.39940892004e-18,0,0,0,1,5.05011687279,4.73321527383e-16,0,0,-1.57079632679
-0.982511997223,1.2472426278,0.899999976158,-1.04346126983e-16,-1,0,1,-1.04346126983e-16,0,0,0,1,5.15083287279,1.78986049923e-14,0,0,-1.57079632679
-0.982511997223,1.1465266278,0.899999976158,0,-1,0,-nan,-nan,-nan,0,0,1,5.25154887279,0,-0,-0,-1.57079632679
-0.982511997223,1.04581062755,0.899999976158,2.05670579218e-16,-1,0,1,2.05670588302e-16,0,0,0,1,5.35226487304,3.04065560857e-14,-0,-0,-1.57079632679
-0.982511997223,0.945094603958,0.899999976158,2.79288092876e-19,-1,0,-1,-2.79288092893e-19,0,0,0,1,5.45298089664,1.18918287707e-16,-0,-0,-1.57079632679
-0.982511997223,0.844378603958,0.899999976158,0,-1,0,-nan,-nan,-nan,0,0,1,5.55369689664,0,-0,-0,-1.57079632679
-0.982511997223,0.743662603958,0.899999976158,-5.23965553424e-18,-1,0,-1,5.23965553424e-18,0,0,0,1,5.65441289664,1.46697640683e-15,0,0,-1.57079632679
-0.982511997223,0.642946603958,0.899999976158,-4.71447679927e-17,-1,0,1,-4.71447679927e-17,0,0,0,1,5.75512889664,9.38411616989e-15,0,0,-1.57079632679
-0.982511997223,0.542230603958,0.899999976158,0,-1,0,-nan,-nan,-nan,0,0,1,5.85584489664,0,-0,-0,-1.57079632679
-0.982511927552,0.441514604017,0.899999976158,2.0530180359e-05,-0.999999999789,0,0.999999999789,2.0530180359e-05,0,0,0,1,5.95656089658,0.00528871192765,-0,-0,-1.57077579661
-0.980285306756,0.34085968707,0.899999976158,0.0706256650343,-0.99750288994,0,0.99750288994,0.0706256650343,0,0,0,1,6.05724043842,1.22196159927,-0,-0,-1.50011181629
-0.967019912677,0.241107923672,0.899999976158,0.19252264758,-0.981292530375,0,0.981292530375,0.19252264758,0,0,0,1,6.1578703792,1.22200402043,-0,-0,-1.37706408579
-0.941611530823,0.143738528535,0.899999976158,0.311508439904,-0.950243385596,0,0.950243385596,0.311508439904,0,0,0,1,6.25850031996,1.22200402043,-0,-0,-1.25401628173
-0.9044443782,0.0502238893403,0.899999976158,0.425783704969,-0.904824975663,0,0.904824975663,0.425783704969,0,0,0,1,6.35913026072,1.22200402043,-0,-0,-1.13096847767
-0.856080484157,-0.0380218965695,0.899999976158,0.533620410137,-0.845724102699,0,0.845724102699,0.533620410137,0,0,0,1,6.45976020149,1.22200402043,-0,-0,-1.0079206736
-0.797251357825,-0.119664558441,0.899999976158,0.633343625128,-0.773870694955,0,0.773870694955,0.633343625128,0,0,0,1,6.5603901689,1.20935868445,-0,-0,-0.884930063135
-0.73068537742,-0.195224225452,0.899999976158,0.669130603778,-0.743144827801,0,0.743144827801,0.669130603778,0,0,0,1,6.66108919087,3.09731188955e-06,-0,-0,-0.83775804443
-0.663293219273,-0.270070799697,0.899999976158,0.669130606359,-0.743144825477,0,-0.743144825477,-0.669130606359,0,0,0,1,6.76180519087,7.97170457696e-14,-0,-0,-0.837758040957
-0.595901061122,-0.34491737394,0.899999976158,0.669130606359,-0.743144825477,0,0.743144825477,0.669130606359,0,0,0,1,6.86252119087,1.19760424024e-14,-0,-0,-0.837758040957
-0.528508902972,-0.419763948183,0.899999976158,0.669130606359,-0.743144825477,0,0.743144825477,0.669130606359,0,0,0,1,6.96323719087,4.49654987301e-14,-0,-0,-0.837758040957
-0.461116744822,-0.494610522426,0.899999976158,0.669130606359,-0.743144825477,0,-0.743144825477,-0.669130606359,0,0,0,1,7.06395319087,1.09522485247e-14,-0,-0,-0.837758040957
-0.3937244532,-0.569456977963,0.899999976158,0.669160044638,-0.743118318076,0,0.743118318076,0.669160044638,0,0,0,1,7.16466919197,0.00759780218131,-0,-0,-0.837718427139
-0.325725653628,-0.64374770626,0.899999976158,0.686186115847,-0.727426019894,0,0.727426019894,0.686186115847,0,0,0,1,7.26538140103,0.349072217069,-0,-0,-0.814563313703
-0.255343543736,-0.715780030746,0.899999976158,0.711330599601,-0.702857580219,0,0.702857580219,0.711330599601,0,0,0,1,7.36609037364,0.349072224674,-0,-0,-0.77940679809
-0.182473040919,-0.785293964477,0.899999976158,0.735595983095,-0.677420511687,0,0.677420511687,0.735595983095,0,0,0,1,7.46679934625,0.349072224674,-0,-0,-0.744250282473
-0.107204202428,-0.852203598432,0.899999976158,0.758952277872,-0.651146250787,0,0.651146250787,0.758952277872,0,0,0,1,7.56750831885,0.349072224674,-0,-0,-0.709093766856
-0.0296300495053,-0.916426242118,0.899999976158,0.781370618977,-0.624067268649,0,0.624067268649,0.781370618977,0,0,0,1,7.66821729146,0.349072224674,-0,-0,-0.673937251239
0.0501315755659,-0.97786512295,0.899999976158,0.802919159519,-0.596087932504,0,0.596087932504,0.802919159519,0,0,0,1,7.76889823758,0.377689690498,-0,-0,-0.638619939703
0.133080598325,-1.03495984369,0.899999976158,0.850302994527,-0.526293470887,0,0.526293470887,0.850302994527,0,0,0,1,7.8695975301,1.0473698333,-0,-0,-0.554235586434
0.22133918976,-1.0833478648,0.899999976158,0.900983148122,-0.433854084688,0,0.433854084688,0.900983148122,0,0,0,1,7.97025029732,1.0473698333,-0,-0,-0.44876603684
0.31420135585,-1.1221756597,0.899999976158,0.941650209201,-0.336593053272,0,0.336593053272,0.941650209201,0,0,0,1,8.07090306453,1.0473698333,-0,-0,-0.343296487247
0.410635071231,-1.15101171502,0.899999976158,0.971852223648,-0.235591288869,0,0.235591288869,0.971852223648,0,0,0,1,8.17155583175,1.0473698333,-0,-0,-0.237826937653
0.509568618063,-1.16953556071,0.899999976158,0.991253540827,-0.131971276416,0,0.131971276416,0.991253540827,0,0,0,1,8.27220859896,1.0473698333,-0,-0,-0.132357388059
0.615580263708,-1.17747026191,0.899999976158,0.999780691298,-0.0209420464128,0,0.0209420464128,0.999780691298,0,0,0,1,8.37851677596,0.679363997867,-0,-0,-0.0209435774714
0.716114080884,-1.1744831247,0.899999976158,0.996435493837,0.0843582042333,0,-0.0843582042333,0.996435493837,0,0,0,1,8.47909496139,1.04736985091,0,-0,0.0844585791423
0.815821088892,-1.16071751167,0.899999976158,0.982017805774,0.188788318345,0,-0.188788318345,0.982017805774,0,0,0,1,8.5797477286,1.04736985091,0,-0,0.18992813051
0.913524886229,-1.13653182306,0.899999976158,0.956686444695,0.291120329995,0,-0.291120329995,0.956686444695,0,0,0,1,8.68040049582,1.04736985091,0,-0,0.295397681877
1.00813963994,-1.10219484695,0.899999976158,0.920722931151,0.390216970484,0,-0.390216970484,0.920722931151,0,0,0,1,8.78105326303,1.04736985091,0,-0,0.400867233245
1.09861384721,-1.05808818797,0.899999976158,0.874526946312,0.484976927466,0,-0.484976927466,0.874526946312,0,0,0,1,8.88170603024,1.04736985091,0,-0,0.506336784612
1.18596286941,-1.00304692206,0.899999976158,0.818772613712,0.574117938263,0,-0.574117938263,0.818772613712,0,0,0,1,8.98495036487,0.673519726654,0,-0,0.611526443083
1.26786576559,-0.939500692879,0.899999976158,0.760088498955,0.649819570155,0,-0.649819570155,0.760088498955,0,0,0,1,9.08861428167,0.872764244123,0,-0,0.707347032582
