a0,acc_rollover,acc_slide,acc_upper,s,v0,v_slide,v_upper,vel_stairsend
3.0,4.518071554005152,3.0,3.0,0.0,0.0,2.5,2.5,2.5
3.0,4.540420944299378,3.0,3.0,0.10160295221799999,0.7807801952585631,2.5,2.5,2.5
3.0000000000000013,4.562746772001458,3.0,3.0,0.20588729347100002,1.1114511958813127,2.5,2.5,2.5
3.0000000000000004,4.585048921251123,3.0,3.0,0.305899193591,1.354767567350946,2.5,2.5,2.5
2.999999999999999,4.607327276310989,3.0,3.0,0.407549089907,1.5637437576028883,2.5,2.5,2.5
3.000000000000002,4.6295817215671535,3.0,3.0,0.507595761761,1.7451574629717514,2.5,2.5,2.5
3.000000000000001,4.651812141529789,3.0,3.0,0.608773803577,1.9111888502871714,2.5,2.5,2.5
3.000000000000001,4.674018420833755,3.0,3.0,0.7093548048630001,2.0630387367129104,2.5,2.5,2.5
2.999999999999997,4.690240202626175,3.0,3.0,0.810891625988,2.2057537840674786,2.5,2.5,2.5
3.0000000000000067,4.706450614318804,3.0,3.0,0.911301521278,2.33833469111417,2.5,2.5,2.5
0.8836849853543355,4.722634481357578,3.0,3.0,1.0118256197700002,2.463930542572173,2.5,2.5,2.5
0.0,4.738500777666265,3.0,3.0,1.11313224167,2.5,2.5,2.5,2.5
0.0,4.752166852090417,3.0,3.0,1.21405962463,2.5,2.5,2.5,2.5
0.0,4.759958416960532,3.0,3.0,1.31493666999,2.5,2.5,2.5,2.5
-0.5186500336650798,4.761747542565438,3.0,3.0,1.4164370195299998,2.5,2.5,2.5,2.5
-2.0,4.7618181707690805,3.0,3.0,1.51714550383,2.4790189758158148,2.5,2.5,2.5
-1.9999999999999956,4.761818181818182,3.0,3.0,1.6190675432600001,2.3953803298714154,2.5,2.5,2.5
-2.0,4.761818181818182,3.0,3.0,1.7208626905900002,2.3088235825664314,2.5,2.5,2.5
-2.0000000000000044,4.761818181818182,3.0,3.0,1.8227434535799998,2.218815738959613,2.5,2.5,2.5
-2.0,4.761818181818182,3.0,3.0,1.9231993056,2.1263395484670107,2.151737853233418,2.151737853233418,2.5
-1.1385254089329837,4.761818181818182,3.0,3.0,2.0235629938499997,2.0297450880282706,2.0297450880282706,2.0297450880282706,2.5
3.0000000000000067,4.761818181818182,3.0,3.0,2.12431886823,1.9724195487302167,1.9724195487302167,1.9724195487302167,2.5
3.0,4.761818181818182,3.0,3.0,2.22512956589,2.1202129756637924,2.5,2.5,2.5
-0.63302926823369,4.761818181818182,3.0,3.0,2.32678273663,2.2594738517214825,2.5,2.5,2.5
-2.0,4.761818181818182,3.0,3.0,2.4270249171900002,2.2312125891992047,2.5,2.5,2.5
-2.0,4.761818181818182,3.0,3.0,2.52758329119,2.1391765056210343,2.265189730199631,2.265189730199631,2.5
0.023076012737139953,4.761818181818182,3.0,3.0,2.62879592887,2.042357846088932,2.042357846088932,2.042357846088932,2.5
0.4604943638789667,4.761818181818182,3.0,3.0,2.72888401186,2.043488399584604,2.043488399584604,2.043488399584604,2.5
1.7693932011513729,4.761818181818182,3.0,3.0,2.8289677208499997,2.0659188771703603,2.0659188771703603,2.0659188771703603,2.5
3.0,4.761818181818182,3.0,3.0,2.92910449288,2.149972896173135,2.149972896173135,2.149972896173135,2.5
3.0,4.761818181818182,3.0,3.0,3.02941440053,2.2856602766332306,2.3107116229222617,2.3107116229222617,2.5
0.2476779280117015,4.761818181818182,3.0,3.0,3.12990377468,2.413955083484176,2.422920883052973,2.422920883052973,2.5
-0.5455463063807968,4.761818181818182,3.0,3.0,3.23045718917,2.42425016609051,2.42425016609051,2.42425016609051,2.5
1.0298035318245276,4.761818181818182,3.0,3.0,3.3310162609400003,2.401514023993084,2.401514023993084,2.401514023993084,2.5
1.3686642899508155,4.761818181818182,3.0,3.0,3.4315844174000003,2.4442586796120076,2.4442586796120076,2.4442586796120076,2.5
0.0,4.761818181818182,3.0,3.0,3.53226634107,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,3.63318732934,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,3.7341888458699994,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,3.8351719506800004,2.5,2.5,2.5,2.5
0.0,4.761818181818182,3.0,3.0,3.9361516794199995,2.5,2.5,2.5,2.5
