x,y,z,tx,ty,tz,qx,qy,qz,nx,ny,nz,s,kappa,psi,theta,phi
-3.99630999565,1.72619998455,1,0.992277894912,0,-0.124034589003,0.124034589003,0,0.992277894912,0,0,1,0,0.267151368573,0,0.0622375770156,0
-3.89402176335,1.72619998455,0.988750679423,0.99561608747,0,-0.0935339851074,0.0935339851074,0,0.99561608747,0,0,1,0.102288232299,0.327571135331,0,0.0468611516022,0
-3.78822535669,1.72619998455,0.98074021301,0.998372796618,0,-0.0570241963917,0.0570241963917,0,0.998372796618,0,0,1,0.208084638957,0.34966567321,0,0.0285333785388,0
-3.68645081663,1.72619998455,0.976651147285,0.999695115796,0,-0.0246916069506,0.0246916069506,0,0.999695115796,0,0,1,0.309859179024,0.265329136521,0,0.0123475289032,0
-3.58454129898,1.72619998455,0.97524181689,0.999983729893,0,-0.00570437983533,0.00570437983533,0,0.999983729893,0,0,1,0.411768696667,0.107023024218,0,0.00285221118698,0
-3.48272669195,1.72619998455,0.97501001101,0.999999913179,0,-0.000416704180213,0.000416704180213,0,0.999999913179,0,0,1,0.513583303704,0.0145761520418,0,0.000208352098398,0
-3.38056943599,1.72619998455,0.975000034579,0.999999999999,0,-1.21779511014e-06,1.21779747252e-06,0,0.999999999999,0,0,1,0.615740559659,0.000119227723619,0,6.08897555068e-07,0
-3.2782393189,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,0.718070676751,0,0,-0,0
-3.17582611837,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,0.820483877281,0,0,-0,0
-3.07333737781,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,0.922972617846,0,0,-0,0
-2.97307696121,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.02323303444,0,0,-0,0
-2.87240333147,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.12390666418,0,0,-0,0
-2.77137420245,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.2249357932,0,0,-0,0
-2.66991267049,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.32639732516,0,0,-0,0
-2.56933294404,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.42697705161,0,0,-0,0
-2.46845442224,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.52785557341,0,0,-0,0
-2.36733014456,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.62897985109,0,0,-0,0
-2.2660049404,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.73030505525,0,0,-0,0
-2.16511710237,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.83119289328,0,0,-0,0
-2.06430971068,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,1.93200028498,0,0,-0,0
-1.96350951111,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.03280048454,0,0,-0,0
-1.86270948696,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.13360050869,0,0,-0,0
-1.76190946293,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.23440053272,0,0,-0,0
-1.6611094389,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.33520055675,0,0,-0,0
-1.56030941496,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.43600058069,0,0,-0,0
-1.45950939156,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.5368006041,0,0,-0,0
-1.35870937015,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.6376006255,0,0,-0,0
-1.25790935331,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.73840064234,0,0,-0,0
-1.15710934345,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.8392006522,0,0,-0,0
-1.05630934087,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,2.94000065478,0,0,-0,0
-0.955509343491,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.04080065216,0,0,-0,0
-0.854709348594,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.14160064706,0,0,-0,0
-0.753909354432,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.24240064122,0,0,-0,0
-0.653109360254,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.3432006354,0,0,-0,0
-0.552309365555,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.4440006301,0,0,-0,0
-0.451509369668,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.54480062598,0,0,-0,0
-0.350709372012,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.64560062364,0,0,-0,0
-0.249909372554,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.7464006231,0,0,-0,0
-0.149109371841,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.84720062381,0,0,-0,0
-0.0483093705457,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,3.94800062511,0,0,-0,0
0.0524906308956,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,4.04880062655,0,0,-0,0
0.153290632201,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,4.14960062785,0,0,-0,0
0.254090632942,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,4.25040062859,0,0,-0,0
0.35489063245,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,4.3512006281,0,0,-0,0
0.455690630167,1.72619998455,0.975000023842,1,0,0,-nan,-nan,-nan,0,0,1,4.45200062582,0,0,-0,0
0.556490625995,1.72619998443,0.975000023842,1,-1.77336071508e-08,0,-1.77336072866e-08,-1,0,0,0,1,4.55280062165,2.35104659894e-06,-0,-0,-1.77336071508e-08
0.657290020625,1.72619938421,0.975000023842,0.999999999511,-3.12688356428e-05,0,-3.12688356428e-05,-0.999999999511,0,0,0,1,4.65360001628,0.00142510123298,-0,-0,-3.12688356479e-05
0.758056622844,1.72616599141,0.975000023842,0.99999942758,-0.00106997225046,0,-0.00106997225046,-0.99999942758,0,0,0,1,4.75436662403,0.0294863197891,-0,-0,-0.00106997245462
0.858404862997,1.72571423433,0.975000023842,0.999940528923,-0.0109058983202,0,-0.0109058983202,-0.999940528923,0,0,0,1,4.85471588106,0.212557191982,-0,-0,-0.0109061145205
0.959375669788,1.72268503867,0.975000023842,0.998178739797,-0.0603258105472,0,-0.0603258105472,-0.998178739797,0,0,0,1,4.95573211664,0.894513345599,-0,-0,-0.0603624602474
1.05977514031,1.70948449768,0.975000023842,0.973053774871,-0.230578297352,0,-0.230578297352,-0.973053774871,0,0,0,1,5.05699567357,2.76550788512,-0,-0,-0.232671952867
1.15215918854,1.66906852185,0.975000023842,0.816525178122,-0.577309824525,0,-0.577309824525,-0.816525178122,0,0,0,1,5.15783348132,3.90933538448,-0,-0,-0.615430175142
1.2260625493,1.60057185035,0.975000023842,0.693520280811,-0.720437103503,0,0.720437103503,0.693520280811,0,0,0,1,5.25859806208,0.267312140129,-0,-0,-0.804432380584
1.29862538729,1.53073465452,0.975000023842,0.744143678196,-0.668019600163,0,0.668019600163,0.744143678196,0,0,0,1,5.35930853512,0.153632428321,-0,-0,-0.731544283851
1.37158530884,1.46129454212,0.975000023842,0.688069467174,-0.725644822446,0,-0.725644822446,-0.688069467174,0,0,0,1,5.46003131984,1.0419762741,-0,-0,-0.811971079083
1.43970182956,1.3870110289,0.975000023842,0.692476138502,-0.721440779001,0,0.721440779001,0.692476138502,0,0,0,1,5.56081773129,1.10796136591,-0,-0,-0.805880689264
1.51295960832,1.31786877371,0.975000023842,0.74281688076,-0.669494646474,0,-0.669494646474,-0.74281688076,0,0,0,1,5.66155180497,0.326284656134,-0,-0,-0.733528258232
1.58469956746,1.24720869906,0.975000023842,0.675535712171,-0.73732726898,0,-0.73732726898,-0.675535712171,0,0,0,1,5.76224672981,0.708206263491,-0,-0,-0.829105306639
1.65303915738,1.17314825692,0.975000023842,0.703486489135,-0.710708632003,0,0.710708632003,0.703486489135,0,0,0,1,5.8630199834,0.965408687637,-0,-0,-0.790505011792
1.72443329779,1.10214237254,0.975000023842,0.668995693819,-0.743266279103,0,-0.743266279103,-0.668995693819,0,0,0,1,5.96371238084,2.61369545298,-0,-0,-0.837939568853
1.77673125381,1.01684031763,0.975000023842,0.342261568729,-0.939604714,0,-0.939604714,-0.342261568729,0,0,0,1,6.06376994814,3.68980761486,-0,-0,-1.22147354483
