a0,acc_rollover,acc_slide,acc_upper,s,v0,v_slide,v_upper,vel_stairsend,vel,acc
3.0000000000000004,3.0,3.0,3.0,0.0,0.0,2.5,2.5,2.5,0.0,0.8912639295923861
2.9999999999999987,3.0,3.0,3.0,0.10571405557399999,0.7964196967956029,2.5,2.5,2.5,0.434094746763955,0.8866859421631058
2.999999999999999,3.0,3.0,3.0,0.209428600376,1.120969046073976,2.5,2.5,2.5,0.6102152955438107,0.8792942043061794
3.0,3.0,3.0,3.0,0.31149069053000006,1.3670933191190717,2.5,2.5,2.5,0.7428646684418329,0.8698563862127522
2.9999999999999996,3.0,3.0,3.0,0.413275324646,1.5746910642649876,2.5,2.5,2.5,0.8537704279415258,0.8586822364554791
2.999999999999999,3.0,3.0,3.0,0.514896656034,1.7576632032912334,2.5,2.5,2.5,0.950497137209323,0.8460414156960399
2.999999999999999,3.0,3.0,3.0,0.616466244868,1.923225797769986,2.5,2.5,2.5,1.0369710532607372,0.8321285509521985
3.0000000000000053,3.0,3.0,3.0,0.716912248211,2.073999394712062,2.5,2.5,2.5,1.114664496484114,0.8172770253334618
2.999999999999999,3.0,3.0,3.0,0.8182073148000001,2.215681359943257,2.5,2.5,2.5,1.1866124898751949,0.8013204734652718
2.999999999999998,3.0,3.0,3.0,0.9197359715090001,2.349130866736462,2.5,2.5,2.5,1.253300915046545,0.7844552295048692
0.6108330289855184,3.0,3.0,3.0,1.0210067521200001,2.475083940540199,2.5,2.5,2.5,1.3151608154705587,0.7668613154758598
0.0,3.0,3.0,3.0,1.12247432296,2.5,2.5,2.5,2.5,1.3730517398314566,0.7485429594553874
0.0,3.0,3.0,3.0,1.22271825072,2.5,2.5,2.5,2.5,1.4266551275483486,0.7298444089415529
0.0,3.0,3.0,3.0,1.32335237041,2.5,2.5,2.5,2.5,1.4772404517102145,0.7105327037038457
0.0,3.0,3.0,3.0,1.42555459985,2.5,2.5,2.5,2.5,1.5256065695277163,0.6904244941805198
0.0,3.0,3.0,3.0,1.52665241475,2.5,2.5,2.5,2.5,1.570692910920624,0.6701040034586432
0.0,3.0,3.0,3.0,1.62754720849,2.5,2.5,2.5,2.5,1.613163423476654,0.6494469062604019
0.0,3.0,3.0,3.0,1.7285442010499998,2.5,2.5,2.5,2.5,1.6533241060246815,0.6284375384634789
0.0,3.0,3.0,3.0,1.8298800708900003,2.5,2.5,2.5,2.5,1.6914038928543718,0.6070681639924903
0.0,3.0,3.0,3.0,1.93120575632,2.5,2.5,2.5,2.5,1.72738829578108,0.5854528396824729
0.0,3.0,3.0,3.0,2.03253144174,2.5,2.5,2.5,2.5,1.761395226780545,0.56362836470882
0.0,3.0,3.0,3.0,2.13385712717,2.5,2.5,2.5,2.5,1.7935253568570226,0.5416315772232425
0.0,3.0,3.0,3.0,2.2351828125999997,2.5,2.5,2.5,2.5,1.8238683031717131,0.5194974597591451
0.0,3.0,3.0,3.0,2.33650849803,2.5,2.5,2.5,2.5,1.8525043750806482,0.49725935440585817
0.0,3.0,3.0,3.0,2.43783418345,2.5,2.5,2.5,2.5,1.87950598549893,0.47494914725899906
0.0,3.0,3.0,3.0,2.53916111389,2.5,2.5,2.5,2.5,1.9049391139718888,0.452597152713072
0.0,3.0,3.0,3.0,2.63936612412,2.5,2.5,2.5,2.5,1.9286000188155576,0.43048067513091515
0.0,3.0,3.0,3.0,2.74057636667,2.5,2.5,2.5,2.5,1.9510602603870404,0.4081582826569965
0.0,3.0,3.0,3.0,2.84103723569,2.5,2.5,2.5,2.5,1.9719645055650497,0.3860437639751959
0.0,3.0,3.0,3.0,2.9415646028299998,2.5,2.5,2.5,2.5,1.9915471216104565,0.3639832702036297
0.0,3.0,3.0,3.0,3.0419805468,2.5,2.5,2.5,2.5,2.0098157589511696,0.34204095872489115
0.0,3.0,3.0,3.0,3.1432687501700003,2.5,2.5,2.5,2.5,2.0269802202549627,0.32002849817795403
0.0,3.0,3.0,3.0,3.24370522558,2.5,2.5,2.5,2.5,2.042776023474026,0.29834364820898107
0.0,3.0,3.0,3.0,3.34503394042,2.5,2.5,2.5,2.5,2.057521674001939,0.2766351729271288
0.0,3.0,3.0,3.0,3.4463196612300004,2.5,2.5,2.5,2.5,2.0710948372226676,0.25512833054701023
0.0,3.0,3.0,3.0,3.54768531138,2.5,2.5,2.5,2.5,2.0835441735095404,0.2338203901416036
0.0,3.0,3.0,3.0,3.64901099687,2.5,2.5,2.5,2.5,2.0948843274965867,0.2127592921846413
0.0,3.0,3.0,3.0,3.75033668235,2.5,2.5,2.5,2.5,2.105149949014683,0.1919590150963694
0.0,3.0,3.0,3.0,3.8516623678300004,2.5,2.5,2.5,2.5,2.1143691885321103,0.1714416241923675
0.0,3.0,3.0,3.0,3.9529880533199995,2.5,2.5,2.5,2.5,2.122569185114953,0.15122890773010875
0.0,3.0,3.0,3.0,4.0543137388,2.5,2.5,2.5,2.5,2.1297762068066786,0.13134241139935865
0.0,3.0,3.0,3.0,4.15563942431,2.5,2.5,2.5,2.5,2.1360157796287456,0.1118034706167214
0.0,3.0,3.0,3.0,4.25696514356,2.5,2.5,2.5,2.5,2.1413128087630655,0.09263323469843826
0.0,3.0,3.0,3.0,4.35829419222,2.5,2.5,2.5,2.5,2.145691827841396,0.0738521106616833
0.0,3.0,3.0,3.0,4.45964851333,2.5,2.5,2.5,2.5,2.149177489446291,0.0554771343116911
0.0,3.0,3.0,3.0,4.56102213921,2.5,2.5,2.5,2.5,2.1517926753430214,0.03753045667370895
0.0,3.0,3.0,3.0,4.66236620557,2.5,2.5,2.5,2.5,2.1535595408168313,0.02004128272067208
0.0,3.0,3.0,3.0,4.76369307784,2.5,2.5,2.5,2.5,2.154502294459658,0.0030278559390305507
0.0,3.0,3.0,3.0,4.86501876609,2.5,2.5,2.5,2.5,2.1546446890394293,-0.013491968967711111
0.0,3.0,3.0,3.0,4.96634445158,2.5,2.5,2.5,2.5,2.1540101137175034,-0.02949776038469527
0.0,3.0,3.0,3.0,5.0676701370599995,2.5,2.5,2.5,2.5,2.152622077470889,-0.04496887128216591
0.0,3.0,3.0,3.0,5.16899582255,2.5,2.5,2.5,2.5,2.150504314108282,-0.05988461574936287
0.0,3.0,3.0,3.0,5.27032150803,2.5,2.5,2.5,2.5,2.1476808667763723,-0.07422424898870829
0.0,3.0,3.0,3.0,5.371647193509999,2.5,2.5,2.5,2.5,2.1441761727295807,-0.08796694732456208
0.0,3.0,3.0,3.0,5.472972878999999,2.5,2.5,2.5,2.5,2.140015148830733,-0.10109178858669275
0.0,3.0,3.0,3.0,5.574298564480001,2.5,2.5,2.5,2.5,2.1352232781784517,-0.11357773283913533
0.0,3.0,3.0,3.0,5.675624250069999,2.5,2.5,2.5,2.5,2.1298266982033462,-0.1254036034402763
0.0,3.0,3.0,3.0,5.7769500229699995,2.5,2.5,2.5,2.5,2.123852285422342,-0.13654807732743818
0.0,3.0,3.0,3.0,5.87828038027,2.5,2.5,2.5,2.5,2.11732746625676,-0.14699007850810605
0.0,3.0,3.0,3.0,5.97963783214,2.5,2.5,2.5,2.5,2.1102792516038638,-0.1567098034527628
0.0,3.0,3.0,3.0,6.08102635561,2.5,2.5,2.5,2.5,2.102736637950427,-0.1656850498388869
0.0,3.0,3.0,3.0,6.1824194625,2.5,2.5,2.5,2.5,2.094732136728294,-0.17389099697551458
0.0,3.0,3.0,3.0,6.28381128253,2.5,2.5,2.5,2.5,2.0862982709339355,-0.1813047299464941
0.0,3.0,3.0,3.0,6.38520302282,2.5,2.5,2.5,2.5,2.0774683802931304,-0.18790366129924707
0.0,3.0,3.0,3.0,6.48659476306,2.5,2.5,2.5,2.5,2.068277329732298,-0.1936648305011657
0.0,3.0,3.0,3.0,6.587986503300001,2.5,2.5,2.5,2.5,2.058761541390593,-0.19856497555415625
0.0,3.0,3.0,3.0,6.689378243539999,2.5,2.5,2.5,2.5,2.048959098533856,-0.202580523036708
0.0,3.0,3.0,3.0,6.790769983780001,2.5,2.5,2.5,2.5,2.0389098567435076,-0.20568757292766432
0.0,3.0,3.0,3.0,6.892161724019999,2.5,2.5,2.5,2.5,2.0286555552868197,-0.20786188413673137
-1.9523460225181912,3.0,3.0,3.0,6.9935534725399995,2.5,2.5,2.5,2.5,2.0182399268247333,-0.20907886089385885
-2.0,3.0,3.0,3.0,7.0950100899,2.4194716682114934,2.5,2.5,2.5,2.0077020531577783,-0.20931305308937512
-1.9999999999999956,3.0,3.0,3.0,7.19637130445,2.3341804332737657,2.5,2.5,2.5,1.9971066780944233,-0.2085399796641971
-2.0000000000000044,3.0,3.0,3.0,7.2983704964,2.2450838575158185,2.5,2.5,2.5,1.9864272614065956,-0.20671616304327925
-2.0,3.0,3.0,3.0,7.39959704497,2.153020049372069,2.5,2.5,2.5,1.9758651111405097,-0.2038499677302859
-1.9999999999999933,3.0,3.0,3.0,7.501573510439999,2.0561102769837296,2.1391577322713964,2.1391577322713964,2.5,1.9653160404962056,-0.19986373935879084
2.999999999999998,3.0,3.0,3.0,7.602988706819999,1.9549753670054546,1.9549753670054546,1.9549753670054546,2.5,1.9549753670054546,-0.19478567489055423
1.8892409274071524,3.0,3.0,3.0,7.7038222777,2.1040271174293634,2.282207617957913,2.282207617957913,2.5,1.944902781109659,-0.19050763546967364
3.0,3.0,3.0,3.0,7.805117116619999,2.1930961724748124,2.1930961724748124,2.1930961724748124,2.5,1.934955283067861,-0.18696037177062322
3.0000000000000044,3.0,3.0,3.0,7.90516357011,2.3259298232456795,2.4347479077717455,2.4347479077717455,2.5,1.925264268404361,-0.18416155024992586
1.148569411000932,3.0,3.0,3.0,8.006394603310001,2.4530258339168967,2.5,2.5,2.5,1.9155565183986483,-0.18202281285770497
0.0,3.0,3.0,3.0,8.1076789732,2.5,2.5,2.5,2.5,1.9059078265665828,-0.18054799412020275
0.0,3.0,3.0,3.0,8.2089468946,2.5,2.5,2.5,2.5,1.8962903794547843,-0.1797089181103047
0.0,3.0,3.0,3.0,8.310214815930001,2.5,2.5,2.5,2.5,1.8866689444758933,-0.1794755922527927
0.0,3.0,3.0,3.0,8.41148273726,2.5,2.5,2.5,2.5,1.8770107793339814,-0.17981782583200293
0.0,3.0,3.0,3.0,8.5127506586,2.5,2.5,2.5,2.5,1.8672841001979827,-0.18070498020512346
0.0,3.0,3.0,3.0,8.61401857993,2.5,2.5,2.5,2.5,1.857458122115674,-0.1821059566950242
0.0,3.0,3.0,3.0,8.71528650126,2.5,2.5,2.5,2.5,1.847503096620099,-0.18398918257219793
0.0,3.0,3.0,3.0,8.81655492972,2.5,2.5,2.5,2.5,1.8373902963919782,-0.18632260889248914
-1.7491854522523937,3.0,3.0,3.0,8.916555571970001,2.5,2.5,2.5,2.5,1.8272214808734908,-0.18903425236611923
-2.0,3.0,3.0,3.0,9.017974531810001,2.4280030604862515,2.5,2.5,2.5,1.8166989364413972,-0.19217041284704153
-1.9999999999999956,3.0,3.0,3.0,9.11860585419,2.3436453597356857,2.5,2.5,2.5,1.8060227850536903,-0.195629160100565
-1.9999999999999956,3.0,3.0,3.0,9.22001312603,2.2554477348966895,2.5,2.5,2.5,1.7950046967339082,-0.19943266280683036
-2.0,3.0,3.0,3.0,9.3214004713,2.163676293665623,2.313780120551655,2.313780120551655,2.5,1.783704562087726,-0.20351843136424516
-2.000000000000002,3.0,3.0,3.0,9.421799906810001,2.068791280368951,2.4449588518277205,2.4449588518277205,2.5,1.7722120904572523,-0.20780719482204157
-1.9999999999999978,3.0,3.0,3.0,9.52309026187,1.968434896431836,2.5,2.5,2.5,1.7602948515711139,-0.2123451674879582
-2.0,3.0,3.0,3.0,9.62390523015,1.8631897564044875,1.9262792330259277,1.9262792330259277,2.5,1.7480911937934904,-0.21703460545568368
-0.506636131450854,3.0,3.0,3.0,9.72441416979,1.751981823481799,1.751981823481799,1.751981823481799,2.5,1.7355676263687558,-0.22184475098989254
2.5047777932657938,3.0,3.0,3.0,9.82491802593,1.7226730798585332,1.7226730798585332,1.7226730798585332,2.5,1.7226730623718107,-0.22675210852974417
3.0,3.0,3.0,3.0,9.925096425680001,1.862646451205032,1.862646451205032,1.862646451205032,2.5,1.7094359166334887,-0.2322347398851095
2.9999999999999956,3.0,3.0,3.0,10.0252531398,2.017521272975007,2.5,2.5,2.5,1.6957745770513737,-0.23826836428082726
2.889623507825813,3.0,3.0,3.0,10.1261585982,2.1623655651408,2.5,2.5,2.5,1.6815368741522783,-0.24486719351493882
-2.0000000000000044,3.0,3.0,3.0,10.2264970447,2.2925325526144524,2.5,2.5,2.5,1.666861443414421,-0.2519022955620503
2.6488806868226016,2.747527544029996,2.6488806868225985,2.6488806868225985,10.326607005,2.2034667375744386,2.2034667375744386,2.2034667375744386,2.5,1.6516631660012326,-0.2593509824176292
1.3256599719320137,2.3830697742149907,2.197657208989045,2.197657208989045,10.4267866817,2.3207743718945326,2.5,2.5,2.5,1.635856906573544,-0.2671923414266925
-1.9999999999999956,2.0439162302413845,1.833878818825999,1.833878818825999,10.528187515599999,2.377990693523836,2.5,2.5,2.5,1.6192099203993422,-0.2754810007657123
1.5736276289268143,1.7330767645485692,1.5736276289268112,1.5736276289268112,10.629587557999999,2.2911219017952704,2.2911219017952704,2.2911219017952704,2.5,1.6018655361807272,-0.28407442529060767
1.1004552018408764,1.3804876224349922,1.2556604214450373,1.2556604214450373,10.7309876402,2.3597397124972748,2.5,2.5,2.5,1.5837811893859572,-0.2929243493161916
-2.0000000000000044,1.0968738250037617,1.0243218480532947,1.0243218480532947,10.832387708099999,2.406562688797419,2.5,2.5,2.5,1.5649146168505002,-0.3019808554500526
0.927982348049369,0.9279823480493681,0.931549076409258,0.9279823480493681,10.933787751199999,2.320763624911392,2.320763624911392,2.320763624911392,2.5,1.5452236131111663,-0.3111923096188701
0.6872697706522232,0.8238974361197252,0.8865293264905914,0.8238974361197252,11.0351878347,2.360961409652714,2.5,2.5,2.5,1.5246659182117581,-0.3205052048353975
-1.9999999999999956,0.7935919600587664,0.9034753852218893,0.7935919600587664,11.1365879005,2.3902964623247684,2.5,2.5,2.5,1.5031991433065013,-0.32986396250737393
0.7678874060093064,0.7678874060093073,0.8916807606312265,0.7678874060093073,11.2379879446,2.3038917078287997,2.3038917078287997,2.3038917078287997,2.5,1.480780612969694,-0.33921074449141303
0.7570255476753279,0.7570255476753296,0.8819594183814727,0.7570255476753296,11.3393880291,2.337444052189049,2.5,2.5,2.5,1.457367224634007,-0.34848522205708066
-1.7949193547618356,0.7713333194145247,0.90411304693058,0.7713333194145247,11.4407880929,2.370056871633881,2.5,2.5,2.5,1.4329153429067392,-0.357624293825338
0.7629065122070635,0.7629065122070666,0.89053295636944,0.7629065122070666,11.542188138,2.2919772616087517,2.2919772616087517,2.2919772616087517,2.5,1.4073805956073318,-0.3665617998710413
0.7573582806813658,0.7573582806813628,0.8823760702259529,0.7573582806813628,11.643588223499998,2.3254843235042792,2.5,2.5,2.5,1.3807176920703719,-0.37522817212303344
-1.580258463095152,0.7716878538915668,0.9046659905094465,0.7716878538915668,11.7449882853,2.358276847996397,2.5,2.5,2.5,1.352880270205527,-0.38355001650749365
0.7622071849896065,0.762207184989601,0.8894234179752134,0.762207184989601,11.846388331500002,2.289321543484933,2.289321543484933,2.289321543484933,2.5,1.323820624829375,-0.3914496623676965
0.7577387781566093,0.7577387781566154,0.8828664517684928,0.7577387781566154,11.9477884179,2.322836386465807,2.5,2.5,2.5,1.2934894617092818,-0.39884461345453837
-1.3647510399169929,0.7719759232085504,0.9051105351171458,0.7719759232085504,12.0491884776,2.3556821502430454,2.5,2.5,2.5,1.2618356677168152,-0.4056468947833903
0.7615293154009593,0.7615293154009595,0.88836040258066,0.7615293154009595,12.1505885252,2.2961852608520577,2.2961852608520577,2.2961852608520577,2.5,1.2288059340036914,-0.41176230956102416
0.7581660933361594,0.7581660933361647,0.8834321838098989,0.7581660933361647,12.2519886121,2.329571855442828,2.5,2.5,2.5,1.1943444040558064,-0.4170895316696603
0.7721947402176503,0.7721947402176532,0.9054477810712402,0.7721947402176532,12.3533886699,2.362342312418739,2.5,2.5,2.5,1.158392312759914,-0.42151901520762497
0.7608773615459741,0.7608773615459735,0.8873551625071725,0.7608773615459735,12.454788718900001,2.395258309668321,2.5,2.5,2.5,1.1208874397852315,-0.4249316947335242
-0.02996978290141308,0.7586373408718187,0.8840777447179526,0.7586373408718187,12.556188806300002,2.427255328958622,2.5,2.5,2.5,1.081763574307377,-0.42719737967883814
-1.9999999999999956,0.7723403946187836,0.9056717119079263,0.7723403946187836,12.6575888621,2.426003000130254,2.5,2.5,2.5,1.0409499288746682,-0.4281727792768469
0.7602548222699554,0.7602548222699589,0.8864146556966732,0.7602548222699589,12.7589889128,2.340916562767883,2.340916562767883,2.340916562767883,2.5,0.99837030773662,-0.4276990466006781
-1.73208542173949,0.7591509242185671,0.8848009080975663,0.7591509242185671,12.8603890004,2.3736196335963333,2.5,2.5,2.5,0.9539422570505108,-0.4255986707706177
-1.9999999999999956,0.7724125689437127,0.9057830885184872,0.7724125689437127,12.9617890544,2.298434914110033,2.5,2.5,2.5,0.9075760978505795,-0.4216715158494669
-1.9999999999999956,0.7596677034211936,0.8855472609322055,0.7596677034211936,13.063189106700001,2.2084390064477653,2.5,2.5,2.5,0.8591736412789742,-0.41568967277456864
-2.0000000000000044,0.7652678872713308,0.8871767561928996,0.7652678872713308,13.164589194400001,2.114616394148119,2.5,2.5,2.5,0.8086268653204147,-0.4073906859414106
-2.000000000000002,0.8250665320141799,0.9556330477882007,0.8250665320141799,13.2659892466,2.016433060034475,2.5,2.5,2.5,0.7558164682496773,-0.3964684913959638
-2.000000000000002,0.988659035889281,1.1647239508331788,0.988659035889281,13.3673893007,1.9132177265538806,2.4346746530007857,2.4346746530007857,2.5,0.7006102202540468,-0.3825610026552763
-2.000000000000002,1.2464629754619985,1.4783874766493827,1.2464629754619985,13.4687893883,1.804106903373522,2.5,2.5,2.5,0.6428617599151828,-0.36523283852018723
-2.0,1.527402111323014,1.7232953594789397,1.527402111323014,13.570189438900002,1.687957794614542,2.5,2.5,2.5,0.582410495911421,-0.3439507229171461
-2.0,1.8231081328490157,1.9601258719854973,1.8231081328490157,13.671589494800001,1.563202255883733,2.5,2.5,2.5,0.5190845217173209,-0.31804754840975547
-1.999999999999999,2.1788835428178626,2.273347977128858,2.1788835428178626,13.772989582200001,1.4275857043274116,2.5,2.5,2.5,0.45271253823402097,-0.2866689386399446
-2.0,2.489917583580151,2.5451519239030658,2.489917583580151,13.8743896311,1.2776543928621689,2.5,2.5,2.5,0.3831607410498728,-0.24869242270393085
-2.0000000000000018,2.79913197500608,2.869877870488515,2.79913197500608,13.975789689,1.1076102726139698,2.5,2.5,2.5,0.31044693807307455,-0.20260511495685274
-2.000000000000001,3.0,3.0,3.0,14.077189775599999,0.906200954314218,2.5,2.5,2.5,0.23513602223924018,-0.14632673547016867
-1.9999999999999998,3.0,3.0,3.0,14.178589814,0.644670470860884,2.5,2.5,2.5,0.16004335588598662,-0.07699145084453067
2.9999999999999996,3.0,3.0,3.0,14.279989817999999,0.1,2.5,0.1,0.1,0.1,0.009192142787101034
2.9999999999999996,3.0,3.0,3.0,14.381389817999999,0.7863841300534997,2.5,2.5,2.5,0.1089227959302848,0.07145622118383323
3.000000000000001,3.0,3.0,3.0,14.482789817999999,1.1076100396800306,2.5,2.5,2.5,0.16234376221263272,0.11421791480108241
2.999999999999997,3.0,3.0,3.0,14.584189817999999,1.3546955377500876,2.5,2.5,2.5,0.22252840324554377,0.14126415548929877
3.000000000000002,3.0,3.0,3.0,14.685589818,1.5632018423735332,2.5,2.5,2.5,0.27958408571347837,0.1556234972244126
