a0,acc_rollover,acc_slide,acc_upper,s,v0,v_slide,v_upper,vel_stairsend
3.0000000000000004,5.182000311405919,3.0,3.0,0.0,0.0,2.5,2.5,2.5
2.9999999999999987,5.185811834868513,3.0,3.0,0.10571405557399999,0.7964196967956029,2.5,2.5,2.5
2.999999999999999,5.189622583028746,3.0,3.0,0.209428600376,1.120969046073976,2.5,2.5,2.5
3.0,5.193432555316896,3.0,3.0,0.31149069053000006,1.3670933191190717,2.5,2.5,2.5
2.9999999999999996,5.197241751163352,3.0,3.0,0.413275324646,1.5746910642649876,2.5,2.5,2.5
2.999999999999999,5.2010501699986245,3.0,3.0,0.514896656034,1.7576632032912334,2.5,2.5,2.5
2.999999999999999,5.204857811253337,3.0,3.0,0.616466244868,1.923225797769986,2.5,2.5,2.5
3.0000000000000053,5.2086646743582286,3.0,3.0,0.716912248211,2.073999394712062,2.5,2.5,2.5
2.999999999999999,5.214819370326303,3.0,3.0,0.8182073148000001,2.215681359943257,2.5,2.5,2.5
2.999999999999998,5.221127597487664,3.0,3.0,0.9197359715090001,2.349130866736462,2.5,2.5,2.5
0.6108330289855184,5.227439614169782,3.0,3.0,1.0210067521200001,2.475083940540199,2.5,2.5,2.5
0.0,5.23375076248109,3.0,3.0,1.12247432296,2.5,2.5,2.5,2.5
0.0,5.240060314925057,3.0,3.0,1.22271825072,2.5,2.5,2.5,2.5
0.0,5.246367677665205,3.0,3.0,1.32335237041,2.5,2.5,2.5,2.5
0.0,5.252672320777765,3.0,3.0,1.42555459985,2.5,2.5,2.5,2.5
0.0,5.258974213335385,3.0,3.0,1.52665241475,2.5,2.5,2.5,2.5
0.0,5.265273535614124,3.0,3.0,1.62754720849,2.5,2.5,2.5,2.5
0.0,5.271570490372293,3.0,3.0,1.7285442010499998,2.5,2.5,2.5,2.5
0.0,5.277865014879219,3.0,3.0,1.8298800708900003,2.5,2.5,2.5,2.5
0.0,5.284042430517674,3.0,3.0,1.93120575632,2.5,2.5,2.5,2.5
0.0,5.288750264017783,3.0,3.0,2.03253144174,2.5,2.5,2.5,2.5
0.0,5.291035458377983,3.0,3.0,2.13385712717,2.5,2.5,2.5,2.5
0.0,5.291841566478852,3.0,3.0,2.2351828125999997,2.5,2.5,2.5,2.5
0.0,5.291995939074904,3.0,3.0,2.33650849803,2.5,2.5,2.5,2.5
0.0,5.291999999987837,3.0,3.0,2.43783418345,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,2.53916111389,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,2.63936612412,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,2.74057636667,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,2.84103723569,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,2.9415646028299998,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.0419805468,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.1432687501700003,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.24370522558,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.34503394042,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.4463196612300004,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.54768531138,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.64901099687,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.75033668235,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.8516623678300004,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,3.9529880533199995,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.0543137388,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.15563942431,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.25696514356,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.35829419222,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.45964851333,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.56102213921,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.66236620557,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.76369307784,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.86501876609,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,4.96634445158,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.0676701370599995,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.16899582255,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.27032150803,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.371647193509999,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.472972878999999,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.574298564480001,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.675624250069999,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.7769500229699995,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.87828038027,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,5.97963783214,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.08102635561,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.1824194625,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.28381128253,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.38520302282,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.48659476306,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.587986503300001,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.689378243539999,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.790769983780001,2.5,2.5,2.5,2.5
0.0,5.292000000000001,3.0,3.0,6.892161724019999,2.5,2.5,2.5,2.5
-1.758167822609144,5.288584934512603,3.0,3.0,6.9935534725399995,2.5,2.5,2.5,2.5
-2.0,5.2885849656311725,3.0,3.0,7.0950100899,2.4276005602103816,2.5,2.5,2.5
-2.0,5.282089653392652,3.0,3.0,7.19637130445,2.342605306434218,2.5,2.5,2.5
-2.0,5.282089653392652,3.0,3.0,7.2983704964,2.2538417987813073,2.5,2.5,2.5
-2.0,5.282089653392652,3.0,3.0,7.39959704497,2.1621509335968563,2.5,2.5,2.5
-1.9999999999999956,5.282089653392652,3.0,3.0,7.501573510439999,2.0656695761359707,2.150156045036256,2.150156045036256,2.5
2.9999999999999956,5.282089653392652,3.0,3.0,7.602988706819999,1.9650267204935823,1.9650267204935823,1.9650267204935823,2.5
1.939504636439224,5.28208963310662,3.0,3.0,7.7038222777,2.1133696878524986,2.2939414105614127,2.2939414105614127,2.5
3.0,5.282089614559052,3.0,3.0,7.805117116619999,2.204371805526276,2.204371805526276,2.204371805526276,2.5
2.9999999999999956,5.280366348122114,3.0,3.0,7.90516357011,2.336564524668467,2.44726597438707,2.44726597438707,2.5
0.9037920809481744,5.278833450728622,3.0,3.0,8.006394603310001,2.4631118482803793,2.5,2.5,2.5
0.0,5.280112381056323,3.0,3.0,8.1076789732,2.5,2.5,2.5,2.5
0.0,5.280112381056323,3.0,3.0,8.2089468946,2.5,2.5,2.5,2.5
0.0,5.280112381056323,3.0,3.0,8.310214815930001,2.5,2.5,2.5,2.5
0.0,5.280112381056323,3.0,3.0,8.41148273726,2.5,2.5,2.5,2.5
0.0,5.283529038273451,3.0,3.0,8.5127506586,2.5,2.5,2.5,2.5
0.0,5.283529007146228,3.0,3.0,8.61401857993,2.5,2.5,2.5,2.5
0.0,5.290023805260163,3.0,3.0,8.71528650126,2.5,2.5,2.5,2.5
